state_name,city_name,product_name,margin_price,fuel_price,final_price,created_at,updated_at,scraped_at
Western Australia,Perth,Diesel,-0.0117,1.5663,1.5546,2025-01-23T00:05:26.000000Z,2026-01-13T00:16:35.000000Z,2026-06-25T09:47:21Z
Western Australia,Perth,Premium - 98,0.0086,1.6707999999999998,1.6794,2025-01-23T00:05:26.000000Z,2026-01-13T00:16:35.000000Z,2026-06-25T09:47:21Z
Western Australia,Perth,Blended E10,0.0000,0,--,2025-01-23T00:05:26.000000Z,2025-01-23T01:04:15.000000Z,2026-06-25T09:47:21Z
Western Australia,Perth,Unleaded 91 (ULP),-0.0058,1.4744,1.4686,2025-01-23T00:05:26.000000Z,2026-01-13T00:16:35.000000Z,2026-06-25T09:47:21Z
Western Australia,Perth,Pulp - 95,0.0045,1.5744,1.5789,2025-01-23T00:05:26.000000Z,2026-01-13T00:16:35.000000Z,2026-06-25T09:47:21Z
Queensland,Brisbane,Diesel,0.0615,1.4715,1.533,2025-01-23T00:05:26.000000Z,2025-07-23T10:31:46.000000Z,2026-06-25T09:47:21Z
Queensland,Brisbane,Premium - 98,0.1807,1.5465,1.7272,2025-01-23T00:05:26.000000Z,2025-07-23T10:31:46.000000Z,2026-06-25T09:47:21Z
Queensland,Brisbane,Blended E10,0.0639,1.4394,1.5033,2025-01-23T00:05:26.000000Z,2025-07-24T10:15:55.000000Z,2026-06-25T09:47:21Z
Queensland,Brisbane,Unleaded 91 (ULP),0.0609,1.4477,1.5086,2025-01-23T00:05:26.000000Z,2025-07-24T10:12:57.000000Z,2026-06-25T09:47:21Z
Queensland,Brisbane,Pulp - 95,0.0729,1.5015,1.5744,2025-01-23T00:05:26.000000Z,2025-07-23T10:31:46.000000Z,2026-06-25T09:47:21Z
Victoria,Melbourne,Diesel,0.0189,1.5053999999999998,1.5243,2025-07-18T15:27:30.000000Z,2025-07-24T10:12:57.000000Z,2026-06-25T09:47:21Z
Victoria,Melbourne,Premium - 98,0.1489,1.5476,1.6965,2025-07-18T15:27:30.000000Z,2025-07-25T09:41:43.000000Z,2026-06-25T09:47:21Z
Victoria,Melbourne,Blended E10,0.0376,1.3939,1.4315,2025-07-18T15:27:30.000000Z,2025-07-24T10:15:55.000000Z,2026-06-25T09:47:21Z
Victoria,Melbourne,Unleaded 91 (ULP),0.0299,1.3865,1.4164,2025-07-18T15:27:30.000000Z,2025-07-24T10:12:57.000000Z,2026-06-25T09:47:21Z
Victoria,Melbourne,Pulp - 95,0.0249,1.4856,1.5105,2025-07-18T15:27:30.000000Z,2025-07-24T10:12:57.000000Z,2026-06-25T09:47:21Z
