date,state,location,fuel_type,price_cpl
2026-03-12,QLD,Brisbane,diesel,248.2
2026-03-12,QLD,Brisbane,e10,205.6
2026-03-12,QLD,Brisbane,p95,219.4
2026-03-12,QLD,Brisbane,p98,235.5
2026-03-12,QLD,Brisbane,ulp91,207.6
2026-03-12,VIC,Melbourne,diesel,205.3
2026-03-12,VIC,Melbourne,p98,213.9
2026-03-12,VIC,Melbourne,ulp91,180.2
2026-03-12,WA,Perth,diesel,240.6
2026-03-12,WA,Perth,p95,219.7
2026-03-12,WA,Perth,p98,229.7
2026-03-12,WA,Perth,ulp91,208.6
2026-03-13,QLD,Brisbane,diesel,260.4
2026-03-13,QLD,Brisbane,e10,222.5
2026-03-13,QLD,Brisbane,p95,222.3
2026-03-13,QLD,Brisbane,p98,238.7
2026-03-13,QLD,Brisbane,ulp91,222.2
2026-03-13,VIC,Melbourne,diesel,258.5
2026-03-13,VIC,Melbourne,e10,220.5
2026-03-13,VIC,Melbourne,p95,233.2
2026-03-13,VIC,Melbourne,p98,250.6
2026-03-13,VIC,Melbourne,ulp91,219.7
2026-03-13,WA,Perth,diesel,260.5
2026-03-13,WA,Perth,p95,231.2
2026-03-13,WA,Perth,p98,241.3
2026-03-13,WA,Perth,ulp91,220.2
2026-03-16,WA,Perth,diesel,263.1
2026-03-16,WA,Perth,p95,234.5
2026-03-16,WA,Perth,p98,244.5
2026-03-16,WA,Perth,ulp91,223.5
2026-03-17,WA,Perth,diesel,262.4
2026-03-17,WA,Perth,p95,235.6
2026-03-17,WA,Perth,p98,245.6
2026-03-17,WA,Perth,ulp91,224.6
2026-03-18,QLD,Brisbane,diesel,274.8
2026-03-18,QLD,Brisbane,e10,221.5
2026-03-18,QLD,Brisbane,p95,240.9
2026-03-18,QLD,Brisbane,p98,258.0
2026-03-18,QLD,Brisbane,ulp91,223.5
2026-03-18,VIC,Melbourne,p98,252.7
2026-03-18,VIC,Melbourne,ulp91,217.7
2026-03-18,WA,Perth,diesel,269.6
2026-03-18,WA,Perth,p95,238.7
2026-03-18,WA,Perth,p98,248.8
2026-03-18,WA,Perth,ulp91,227.7
2026-03-19,VIC,Melbourne,diesel,285.1
2026-03-19,VIC,Melbourne,e10,240.0
2026-03-19,VIC,Melbourne,p95,255.1
2026-03-19,VIC,Melbourne,p98,273.6
2026-03-19,VIC,Melbourne,ulp91,242.0
2026-03-19,WA,Perth,diesel,279.9
2026-03-19,WA,Perth,p95,243.7
2026-03-19,WA,Perth,p98,253.8
2026-03-19,WA,Perth,ulp91,232.7
